epsilon,QPA_nqpa1[-1]
0.000000,0.24964407875193745
0.000025,0.2497457051540365
0.000050,0.2459633001397721
0.000075,0.24652396825870698
0.000100,0.24343297396734526
0.000125,0.2412021857911883
0.000150,0.2384205869575124
0.000175,0.23780450285307472
0.000200,0.23798106149982284
0.000225,0.23407837288641883
0.000250,0.23365549757950171
0.000275,0.23176232848616385
0.000300,0.22998915050915428
0.000325,0.2288639608471662
0.000350,0.2260474235763049
0.000375,0.22585943499850203
0.000400,0.22339249050527976
0.000425,0.2212841789879293
0.000450,0.21977930967971135
0.000475,0.21926553530409562
0.000500,0.2176699798362044
0.000525,0.2175810823776923
0.000550,0.2154378559863114
0.000575,0.21157543464415748
0.000600,0.21184901103621148
0.000625,0.20989935026616016
0.000650,0.209126956049759
0.000675,0.20767374925090043
0.000700,0.2062026441693552
0.000725,0.20508647667658492
0.000750,0.20295591279172787
0.000775,0.20166780866309325
0.000800,0.19830536746844007
0.000825,0.1984694427297544
0.000850,0.1977506991016173
0.000875,0.19525402121714167
0.000900,0.1940761862696946
0.000925,0.1928947105039832
0.000950,0.19048544157059444
0.000975,0.19039252468569712
0.001000,0.19037588472140624
