lambda,QPA_2
0.1,0.877083333333334
0.3105263157894736,0.7754545454545461
0.5210526315789473,0.6210909090909096
0.6894736842105262,0.5112727272727277
0.1421052631578947,0.8647272727272735
0.731578947368421,0.4804545454545458
0.5631578947368421,0.5966363636363641
0.3526315789473684,0.7412727272727279
0.4789473684210527,0.6567272727272733
0.7736842105263158,0.442818181818182
0.2684210526315789,0.8048181818181824
0.6052631578947368,0.5727272727272731
0.8157894736842105,0.41554545454545483
0.6473684210526316,0.5339090909090912
0.2263157894736842,0.8181818181818187
0.3947368421052631,0.7061818181818187
0.1842105263157895,0.8446363636363643
0.8578947368421053,0.3741818181818184
0.9,0.34109090909090933
0.4368421052631579,0.686545454545455
